AdCode,OriginalRows,PerfectRows,RetainedRows,AvgMissingInRetained,PerfectBlocks,FilteredBlocks
150722,231,151,100,0.0,16,10
150921,79,58,79,0.33,6,8
150922,57,35,57,0.33,4,6
150825,95,57,95,0.33,6,10
150721,246,123,100,0.0,13,10
150928,76,11,76,1.11,2,8
150923,159,12,100,0.61,2,10
150602,1196,722,100,0.0,73,10
150821,184,140,100,0.0,14,10
150926,96,22,96,0.44,3,10
152201,330,31,100,0.69,4,10
150927,78,57,78,0.24,6,8
150925,121,73,100,0.27,8,10
152222,388,218,100,0.0,22,10
152223,433,25,100,1.54,3,10
152202,70,13,70,1.13,2,7
150822,111,50,100,0.3,5,10
150824,240,31,100,0.76,4,10
152522,31,13,31,0.52,2,4
150783,562,204,100,0.0,21,10
152523,16,4,16,0.94,1,2
150902,1600,190,100,0.0,19,10
152501,62,53,62,0.16,6,7
152529,27,20,27,0.3,2,3
152528,5,0,5,1.0,0,1
150929,87,64,87,0.25,7,9
152224,146,101,100,0.0,11,10
152524,41,0,41,1.17,0,5
150981,175,112,100,0.0,12,10
152525,51,10,51,1.12,1,6
150924,135,88,100,0.12,9,10
150622,637,500,100,0.0,50,10
152502,293,109,100,0.0,11,10
152530,86,26,86,0.5,3,9
152526,86,34,86,0.58,4,9
150826,265,174,100,0.0,18,10
152922,75,2,75,1.81,1,8
152921,394,213,100,0.0,22,10
152923,76,33,76,0.34,4,8
210111,980,16,100,1.7,2,10
152221,344,207,100,0.0,21,10
210114,1209,10,100,1.03,1,10
210124,852,0,100,2.23,0,10
210112,1148,16,100,0.84,2,10
152531,102,37,100,0.49,4,10
152527,86,44,86,0.23,5,9
210202,367,12,100,1.58,2,10
210102,1428,81,100,0.19,9,10
210106,1525,140,100,0.0,14,10
210181,1420,51,100,0.49,6,10
210123,451,300,100,0.0,30,10
210105,1528,228,100,0.0,23,10
210212,639,4,100,1.68,1,10
210204,1414,13,100,0.87,2,10
210103,1827,215,100,0.0,22,10
210104,1799,291,100,0.0,30,10
210303,853,14,100,0.86,2,10
210203,619,3,100,1.64,1,10
210113,904,251,100,0.0,26,10
210311,184,16,100,0.84,2,10
210323,395,22,100,2.12,3,10
210213,1060,6,100,0.92,1,10
210211,1608,19,100,0.81,2,10
210283,912,85,100,0.15,9,10
210224,144,0,100,2.65,0,10
210402,176,41,100,0.59,5,10
210411,325,95,100,0.05,10,10
210505,80,0,80,1.09,0,8
210503,254,28,100,0.94,3,10
210115,1021,504,100,0.0,51,10
210281,1764,444,100,0.0,45,10
210421,505,152,100,0.0,16,10
210302,393,240,100,0.0,24,10
210504,372,28,100,0.72,3,10
210321,577,492,100,0.0,50,10
210522,353,3,100,2.59,1,10
210624,574,12,100,1.51,2,10
210381,1074,822,100,0.0,83,10
210502,493,115,100,0.0,12,10
210404,196,133,100,0.0,14,10
210604,376,1,100,2.18,1,10
210304,345,211,100,0.0,22,10
210603,451,96,100,0.04,10,10
210403,312,126,100,0.0,13,10
210423,133,116,100,0.0,12,10
210602,311,63,100,0.37,7,10
210811,47,34,47,0.21,4,5
210521,413,192,100,0.0,20,10
210804,468,78,100,0.22,8,10
210782,435,326,100,0.0,33,10
210903,134,7,100,2.49,1,10
210881,557,255,100,0.0,26,10
210682,649,332,100,0.0,34,10
210681,951,465,100,0.0,47,10
210802,125,74,100,0.29,8,10
210803,301,58,100,0.2,6,10
210702,332,12,100,0.88,2,10
210882,653,494,100,0.0,50,10
211003,218,4,100,1.37,1,10
210214,886,462,100,0.0,47,10
210904,222,21,100,1.01,3,10
210922,607,1,100,1.9,1,10
210703,354,167,100,0.0,17,10
211011,182,40,100,1.82,4,10
210422,367,304,100,0.0,31,10
210905,59,43,59,0.42,5,6
211004,283,100,100,0.0,10,10
210902,396,121,100,0.0,13,10
210921,220,42,100,0.58,5,10
211002,459,97,100,0.03,10,10
210781,487,346,100,0.0,35,10
211005,191,2,100,1.52,1,10
211102,339,1,100,2.53,1,10
210727,1305,417,100,0.0,42,10
211204,132,59,100,0.53,6,10
210711,478,285,100,0.0,29,10
211021,633,180,100,0.0,18,10
211104,534,142,100,0.0,15,10
211202,422,157,100,0.0,16,10
211081,460,141,100,0.0,15,10
211122,323,26,100,0.83,3,10
211282,575,104,100,0.0,11,10
211303,225,166,100,0.0,17,10
210726,557,245,100,0.0,25,10
211224,971,8,100,1.13,1,10
211403,306,25,100,0.75,3,10
210911,297,245,100,0.0,25,10
211422,622,8,100,0.92,1,10
211302,243,103,100,0.0,11,10
211321,325,246,100,0.0,25,10
211324,311,210,100,0.0,21,10
211103,500,123,100,0.0,13,10
211402,860,51,100,0.49,6,10
211281,262,8,100,1.65,1,10
211421,606,21,100,0.79,3,10
211221,526,29,100,0.71,3,10
211381,610,450,100,0.0,45,10
211404,187,20,100,0.8,2,10
220105,848,13,100,1.27,2,10
211382,387,103,100,0.0,11,10
211481,771,274,100,0.0,28,10
220113,1262,639,100,0.0,64,10
220104,3628,25,100,0.81,3,10
220103,1931,238,100,0.0,24,10
220102,2473,200,100,0.0,20,10
211223,304,263,100,0.0,27,10
220184,1819,91,100,0.09,10,10
220122,1227,72,100,0.28,8,10
220106,867,53,100,0.47,6,10
220211,669,140,100,0.0,14,10
220183,1087,180,100,0.0,18,10
220284,933,112,100,0.0,12,10
220281,1312,60,100,0.4,6,10
220221,663,136,100,0.0,14,10
220204,1202,199,100,0.0,20,10
220202,1367,128,100,0.0,13,10
220402,950,48,100,0.52,5,10
220302,449,13,100,0.87,2,10
220303,513,29,100,0.98,3,10
220283,1227,338,100,0.0,34,10
220403,273,9,100,1.42,1,10
220521,614,91,100,0.09,10,10
220323,1169,98,100,0.02,10,10
220523,558,223,100,0.0,23,10
220502,1130,113,100,0.0,12,10
220422,557,332,100,0.0,34,10
220182,1937,278,100,0.0,28,10
220282,1029,273,100,0.0,28,10
220112,962,503,100,0.0,51,10
220503,268,0,100,1.61,0,10
220605,355,75,100,0.25,8,10
220582,754,9,100,1.6,1,10
220623,132,42,100,0.58,5,10
220602,628,46,100,0.54,5,10
220622,439,70,100,0.3,7,10
220681,189,37,100,0.63,4,10
211322,616,566,100,0.0,57,10
220723,458,40,100,0.6,4,10
220621,818,31,100,0.69,4,10
220421,732,516,100,0.0,52,10
220702,1379,252,100,0.0,26,10
220881,814,58,100,0.42,6,10
222402,265,10,100,1.46,1,10
220581,1633,646,100,0.0,65,10
222405,223,21,100,1.06,3,10
220322,1200,466,100,0.0,47,10
222406,360,44,100,0.56,5,10
222403,1560,211,100,0.0,22,10
222404,1026,396,100,0.0,40,10
220802,994,36,100,0.83,4,10
222424,754,181,100,0.0,19,10
220821,446,70,100,0.3,7,10
222401,2979,422,100,0.0,43,10
