法律依据,出现次数
《最高人民法院关于审理破坏林地资源刑事案件具体应用法律若干问题的解释》第1条,1137
《最高人民法院、最高人民检察院关于办理寻衅滋事刑事案件适用法律若干问题的解释》第2条,1119
《中华人民共和国刑法(1997年)》第384条第381款,1105
《中华人民共和国刑法》第86条第81款,1068
《中华人民共和国刑事诉讼法》第305条,1066
《最高人民法院、最高人民检察院关于办理非法生产、销售烟草专卖品等刑事案件具体应用法律若干问题的解释》第1条第1款,1038
《中华人民共和国刑法》第340条,1028
《中华人民共和国刑法(1997年)》第176条第171款,1023
《最高人民法院关于审理破坏森林资源刑事案件具体应用法律若干问题的解释》第4条,1018
《中华人民共和国刑法(1997年)》第344条,1013
《中华人民共和国刑法(1997年)》第214条,1011
《中华人民共和国刑法》第245条第241款,1006
《最高人民法院关于审理非法集资刑事案件具体应用法律若干问题的解释》第1条第1款,998
《最高人民法院、最高人民检察院关于办理侵犯知识产权刑事案件具体应用法律若干问题的解释》第1条第1款,992
《中华人民共和国刑事诉讼法(2012年)》第183条第181款,989
《中华人民共和国刑法(1997年)》第81条第81款,983
《最高人民法院、最高人民检察院关于办理侵犯知识产权刑事案件具体应用法律若干问题的解释》第12条第11款,972
《中华人民共和国刑法》第151条第151款,942
《最高人民法院、最高人民检察院关于办理诈骗刑事案件具体应用法律若干问题的解释》第2条第1款,941
《中华人民共和国刑法》第58条第51款,930
《中华人民共和国刑法(1997年)》第134条第131款,925
《中华人民共和国刑法(1997年)》第134条,925
《中华人民共和国刑法》第6条第1款,917
《最高人民法院关于审理非法行医刑事案件具体应用法律若干问题的解释》第1条,906
《中华人民共和国刑法》第48条第41款,879
《中华人民共和国刑法(1997年)》第213条,862
《中华人民共和国刑法(1997年)》第276条第271款,860
《中华人民共和国刑法》第140条,854
《中华人民共和国刑法》第14条第11款,851
《中华人民共和国刑事诉讼法(2012年)》第15条,816
《中华人民共和国刑法》第3条,807
《中华人民共和国刑法(1997年)》第313条,780
《中华人民共和国刑法》第24条第21款,768
《中华人民共和国刑法(1997年)》第310条第311款,766
《中华人民共和国刑法》第279条第271款,760
《中华人民共和国刑法(1997年)》第351条第351款,749
《中华人民共和国刑法》第7条第1款,749
《中华人民共和国刑事诉讼法》第242条,747
《中华人民共和国刑法(1997年)》第43条第41款,733
《中华人民共和国刑法(1997年)》第343条第341款,701
《中华人民共和国刑事诉讼法(2012年)》第74条,701
《中华人民共和国刑法》第192条,699
《最高人民法院关于审理破坏森林资源刑事案件具体应用法律若干问题的解释》第3条,694
《中华人民共和国刑法》第235条,693
